allocation_id,student_id,room_id,admin_id,allocation_date,end_date
1,74,8,7,19/07/2024,03/06/2025
2,68,28,4,11/04/2024,29/12/2024
3,26,49,10,15/12/2024,13/08/2025
4,28,32,7,28/01/2024,23/09/2024
5,62,9,8,14/02/2023,02/11/2023
6,75,15,7,23/12/2024,26/09/2025
7,22,56,3,10/11/2024,22/10/2025
8,38,47,3,22/05/2024,27/11/2024
9,89,41,6,29/05/2024,25/04/2025
10,80,65,2,13/04/2023,30/01/2024
11,44,71,1,22/06/2024,14/04/2025
12,34,72,3,28/05/2023,07/03/2024
13,90,74,5,18/03/2023,12/01/2024
14,23,27,7,13/12/2023,16/11/2024
15,51,26,6,27/10/2024,15/05/2025
16,31,67,7,21/11/2024,03/10/2025
17,58,30,8,21/11/2023,26/10/2024
18,3,1,10,08/07/2024,13/01/2025
19,24,44,5,12/03/2023,07/11/2023
20,17,29,7,21/08/2023,11/03/2024
21,48,53,2,11/04/2023,18/03/2024
22,69,17,5,30/03/2024,07/11/2024
23,13,3,6,30/01/2023,09/08/2023
24,100,43,6,27/02/2023,09/11/2023
25,35,4,3,19/01/2024,04/11/2024
26,40,66,7,08/09/2023,19/07/2024
27,92,19,3,02/08/2024,22/07/2025
28,56,62,2,24/06/2023,03/02/2024
29,99,20,10,16/09/2024,20/06/2025
30,77,11,8,30/11/2024,29/07/2025
31,97,40,4,20/08/2024,24/03/2025
32,83,31,5,17/04/2024,26/03/2025
33,78,52,1,15/04/2024,16/12/2024
34,65,39,9,21/04/2024,30/12/2024
35,54,69,8,11/06/2023,26/12/2023
36,10,37,5,20/12/2023,14/11/2024
37,50,24,5,16/10/2024,31/07/2025
38,30,48,4,12/04/2024,25/12/2024
39,72,25,2,29/01/2024,27/11/2024
40,76,14,10,31/08/2023,03/06/2024
41,6,6,5,03/01/2024,25/11/2024
42,27,7,1,17/12/2024,29/08/2025
43,55,64,5,05/11/2024,13/08/2025
44,73,22,1,09/01/2023,29/11/2023
45,81,13,5,12/09/2024,16/07/2025
46,20,60,6,24/08/2023,24/07/2024
47,11,18,4,13/08/2023,20/07/2024
48,46,45,3,27/09/2024,29/05/2025
49,16,10,1,05/10/2024,27/04/2025
50,39,35,1,13/11/2023,31/08/2024
51,79,16,3,16/08/2024,16/05/2025
52,2,73,6,03/04/2023,14/12/2023
53,8,61,4,01/03/2024,11/10/2024
